140,140
171,171
356,356
651,651
1005,1005
1012,1012
1027,1027
1254,1254
2071,2071
2395,2395
2560,2560
2583,2583
2773,2773
3065,3065
3144,3144
3617,3617
3689,3689
3695,3695
3872,3872
4048,4048
4390,4390
4621,4621
4693,4693
4793,4793
4850,4850
5123,5123
5421,5421
5445,5445
5516,5516
5661,5661
5883,5883
6360,6360
6556,6556
6595,6595
7075,7075
7439,7439
7587,7587
8973,8973
8976,8976
9133,9133
9238,9238
10255,10255
10884,10884
11289,11289
11435,11435
12781,12781
13289,13289
13344,13344
13386,13386
13499,13499
13681,13681
14030,14030
14548,14548
15068,15068
15250,15250
15383,15383
15405,15405
16504,16504
16636,16636
16661,16661
16705,16705
16733,16733
16741,16741
17127,17127
17163,17163
17489,17489
17568,17568
17701,17701
17826,17826
18274,18274
18326,18326
18703,18703
18767,18767
18768,18768
18776,18776
19066,19066
19204,19204
19262,19262
19319,19319
19571,19571
19572,19572
19700,19700
19924,19924
20179,20179
20417,20417
20427,20427
20437,20437
20539,20539
20689,20689
20883,20883
20911,20911
21003,21003
21011,21011
21044,21044
21052,21052
21100,21100
21105,21105
21133,21133
21410,21410
21841,21841
21915,21915
22276,22276
22328,22328
22753,22753
23043,23043
23276,23276
23485,23485
23620,23620
23852,23852
24276,24276
24343,24343
24441,24441
24472,24472
24554,24554
24568,24568
24667,24667
24886,24886
25492,25492
26516,26516
26620,26620
26758,26758
26793,26793
27005,27005
27015,27015
27453,27453
27805,27805
28144,28144
28565,28565
28653,28653
28797,28797
29589,29589
29596,29596
29675,29675
29921,29921
29925,29925
30077,30077
30134,30134
30239,30239
30321,30321
30343,30343
30353,30353
30389,30389
30421,30421
30527,30527
30537,30537
30634,30634
30741,30741
30796,30796
30937,30937
31026,31026
31082,31082
31101,31101
31188,31188
31882,31882
31901,31901
31968,31968
32004,32004
32097,32097
32303,32303
32383,32383
32457,32457
32788,32788
32909,32909
33151,33151
33715,33715
33804,33804
33916,33916
33927,33927
33948,33948
34162,34162
34296,34296
34578,34578
34635,34635
34674,34674
34865,34865
34881,34881
35149,35149
35223,35223
35230,35230
35533,35533
35535,35535
35557,35557
35701,35701
35968,35968
36294,36294
36616,36616
36745,36745
36793,36793
36933,36933
37021,37021
37121,37121
37403,37403
37681,37681
37713,37713
38022,38022
38039,38039
38167,38167
38239,38239
38395,38395
39102,39102
39135,39135
39275,39275
39316,39316
39499,39499
40007,40007
40362,40362
40534,40534
40570,40570
41098,41098
41135,41135
41452,41452
41723,41723
42096,42096
42234,42234
42471,42471
42503,42503
42911,42911
43016,43016
43751,43751
44199,44199
44360,44360
44961,44961
45085,45085
45197,45197
45574,45574
45871,45871
46475,46475
47281,47281
47320,47320
47449,47449
47532,47532
47774,47774
47929,47929
47942,47942
48131,48131
48142,48142
48205,48205
48214,48214
48599,48599
49093,49093
49116,49116
49201,49201
49358,49358
49596,49596
49711,49711
49721,49721
49776,49776
50101,50101
50139,50139
50305,50305
50584,50584
50617,50617
50686,50686
50825,50825
50992,50992
51160,51160
51214,51214
51265,51265
51372,51372
51569,51569
51589,51589
51663,51663
51731,51731
51946,51946
52314,52314
52358,52358
52500,52500
52573,52573
52619,52619
52868,52868
52912,52912
53002,53002
53038,53038
53332,53332
53523,53523
53785,53785
53945,53945
54164,54164
54179,54179
54199,54199
54279,54279
54338,54338
54457,54457
54553,54553
54784,54784
54788,54788
54817,54817
55097,55097
55201,55201
55220,55220
55250,55250
55307,55307
55362,55362
55495,55495
55820,55820
55865,55865
55951,55951
55996,55996
56467,56467
56666,56666
57176,57176
58318,58318
58603,58603
58887,58887
59151,59151
59366,59366
59848,59848
60129,60129
61298,61298
61724,61724
61815,61815
62031,62031
69988,69988
70647,70647
71313,71313
72395,72395
72548,72548
72611,72611
72832,72832
74075,74075
74282,74282
76668,76668
76711,76711
86211,86211
86283,86283
86296,86296
87018,87018
88003,88003
89161,89161
89476,89476
90498,90498
91111,91111
92457,92457
92834,92834
94025,94025
95329,95329
95599,95599
95606,95606
96216,96216
96416,96416
98069,98069
98268,98268
99957,99957
100303,100303
